"title","release_date","rating","director","writer","genres","runtime","original_language","budget","revenue"
"Heart Beats","04/06/2021 (JP)","74","Hiroto Takahashi","","Romantik,Dram","1h 44m","Japonca","-","-"
"Heart of Stone","11/08/2023 (TR)","68","Tom Harper","","Gerilim,Aksiyon","2h 5m","İngilizce","-","-"
"Heathers","31/03/1989 (US)","73","Michael Lehmann","","Komedi,Suç","1h 43m","İngilizce","$3,000,000.00","$1,100,000.00"
"Heavy Metal","07/08/1981 (US)","65","Gerald Potterton","","Animasyon,Bilim-Kurgu,Macera,Fantastik,Müzik","1h 30m","İngilizce","$9,300,000.00","$20,100,000.00"
"Heavyweights","17/02/1995 (US)","61","Steven Brill","Steven Brill","Aile,Komedi","1h 40m","İngilizce","$10,000,000.00","$17,700,000.00"
"Hedef Noktası","09/08/2007 (HK)","69","Wilson Yip","Nicholl Tang","Aksiyon","1h 28m","Cantonese","$8,000,000.00","$6,177,725.00"
"Heidii","15/04/2016 (TR)","71","Alain Gsponer","Petra Biondina Volpe","Macera,Aile","1h 46m","Almanca","$8,800,000.00","-"
"Helen İle Büyümek","27/05/2004 (US)","61","Garry Marshall","","Dram,Komedi,Romantik","1h 59m","İngilizce","$50,000,000.00","$49,700,000.00"
"Hell House LLC Origins: The Carmichael Manor","24/10/2023 (US)","64","Stephen Cognetti","Stephen Cognetti","Korku,Gizem","1h 38m","İngilizce","-","-"
"Hellbound: Hellraiser II","19/06/1989 (GB)","64","Tony Randel","","Korku,Gerilim,Fantastik","1h 37m","İngilizce","$3,000,000.00","$12,090,735.00"
"Hellboy","03/09/2004 (TR)","67","Guillermo del Toro","Peter Briggs","Fantastik,Aksiyon","2h 2m","İngilizce","$66,000,000.00","$99,318,987.00"
"Hellboy II: Altın Ordu","11/07/2008 (US)","68","Guillermo del Toro","","Fantastik,Macera,Aksiyon","2h","İngilizce","$85,000,000.00","$160,388,063.00"
"Hellboy Kan ve Demir","10/03/2007 (US)","63","Tad Stones","","TV film,Fantastik,Animasyon,Korku,Aksiyon,Gerilim,Bilim-Kurgu","1h 15m","İngilizce","-","-"
"HellKat","02/02/2021 (US)","55","Scott Chambers","Michele Pacitto","Aksiyon,Gerilim,Korku","1h 19m","İngilizce","-","-"
"Hello World","20/09/2019 (JP)","73","Tomohiko Ito","","Animasyon,Romantik,Bilim-Kurgu","1h 34m","Japonca","-","-"
"Hello, Dolly!","12/12/1969 (US)","69","Gene Kelly","Ernest Lehman","Müzik,Komedi,Romantik","2h 29m","İngilizce","$24,000,000.00","$33,208,099.00"
"Hellraiser","11/09/1987 (GB)","69","Clive Barker","Clive Barker","Korku,Gerilim,Fantastik","1h 34m","İngilizce","$1,000,000.00","$14,575,193.00"
"Hellraiser","11/09/1987 (GB)","69","Clive Barker","Clive Barker","Korku,Gerilim,Fantastik","1h 34m","İngilizce","$1,000,000.00","$14,575,193.00"
"Hellraiser IV: Kanlı Yol","08/03/1996 (US)","53","Alan Smithee","Peter Atkins","Korku,Bilim-Kurgu","1h 26m","İngilizce","$4,000,000.00","$16,675,000.00"
"Hellraiser: Deader","07/06/2005 (US)","47","Rick Bota","Tim Day","Korku,Gizem,Gerilim","1h 29m","İngilizce","$4,000,000.00","-"
"Hellraiser: Hellseeker","15/10/2002 (CA)","50","Rick Bota","Tim Day","Korku,Gerilim,Gizem","1h 29m","İngilizce","$3,000,000.00","-"
"Henry V","05/10/1989 (GB)","72","Kenneth Branagh","Kenneth Branagh","Savaş,Dram,Tarih","2h 17m","İngilizce","$9,000,000.00","$10,200,000.00"
"Henry ve June","03/05/1991 (TR)","61","Philip Kaufman","","Romantik","2h 16m","İngilizce","-","$11,567,449.00"
"Henry: Bir Seri Katilin Portresi","24/09/1986 (US)","67","John McNaughton","","Suç,Korku,Gerilim","1h 23m","İngilizce","$111,000.00","$609,939.00"
"Hep Seni Düşünüyorum","10/07/2009 (US)","60","Chris Columbus","","Komedi,Romantik","1h 42m","İngilizce","$18,000,000.00","$15,300,000.00"
"Hepsini Vur","26/07/2007 (US)","65","Michael Davis","","Aksiyon,Gerilim,Komedi,Suç","1h 26m","İngilizce","$39,000,000.00","$26,800,000.00"
"Her Blue Sky","11/10/2019 (JP)","72","Tatsuyuki Nagai","","Animasyon,Romantik","1h 48m","Japonca","-","$4,736,031.00"
"Her Devrin Adamı","13/12/1966 (GB)","74","Fred Zinnemann","","Dram,Tarih","2h","İngilizce","$3,900,000.00","$28,350,000.00"
"Her Gün","23/02/2018 (US)","72","Michael Sucsy","","Romantik,Fantastik","1h 37m","İngilizce","$4,900,000.00","$10,400,000.00"
"Her Şey Her Yerde Aynı Anda","08/04/2022 (TR)","78","Daniel Scheinert","Daniel Scheinert","Aksiyon,Macera,Bilim-Kurgu","2h 20m","İngilizce","$25,000,000.00","$139,200,000.00"
"Her Şey Yolunda","24/12/2021 (TR)","67","François Ozon","Philippe Piazzo","Komedi,Dram","1h 53m","Fransızca","-","-"
"Her Türlü Kuşkunun Ötesinde Bir Vatandaş Üstüne Soruşturma","12/02/1970 (IT)","82","Elio Petri","","Dram,Gerilim","1h 51m","İtalyanca","-","-"
"Herkese Karşı","12/03/2016 (US)","58","John Michael McDonagh","John Michael McDonagh","Aksiyon,Komedi,Gizem","1h 38m","İngilizce","-","-"
"Herkesi Öldür","06/06/2017 (US)","51","Peter Malota","Brian Smolensky","Aksiyon,Suç","1h 36m","İngilizce","-","-"
"Herkül","13/06/1997 (US)","75","Ron Clements","","Animasyon,Aile,Fantastik,Macera,Komedi,Romantik","1h 33m","İngilizce","$85,000,000.00","$252,712,101.00"
"Herkül Özgürlük Savaşçısı","25/07/2014 (TR)","58","Brett Ratner","","Aksiyon,Macera","1h 38m","İngilizce","$100,000,000.00","$244,819,862.00"
"Heroic","21/09/2023 (MX)","73","David Zonana","David Zonana","Dram,Gerilim","1h 28m","İspanyolca; Kastilyaca","-","-"
"Hesaplaşma","14/10/2016 (US)","71","Gavin O'Connor","","Suç,Gerilim,Dram","2h 8m","İngilizce","$44,000,000.00","$155,160,045.00"
"Hesaplaşma","05/03/2004 (TR)","62","John Woo","","Aksiyon,Macera,Gizem,Bilim-Kurgu,Gerilim","1h 59m","İngilizce","$60,000,000.00","$95,427,515.00"
"Hesaplaşma","05/02/2016 (US)","56","Shintaro Shimosawa","Adam Mason","Gerilim,Dram,Gizem","1h 46m","İngilizce","$11,000,000.00","$2,049,761.00"
"Hesaplaşma Zamanı","25/12/2013 (US)","61","Peter Segal","","Komedi","1h 53m","İngilizce","$40,000,000.00","$44,907,260.00"
"Hesher","22/01/2010 (US)","68","Spencer Susser","Spencer Susser","Dram","1h 46m","İngilizce","$7,000,000.00","$449,702.00"
"Hex","01/11/2022 (US)","58","Andy Malchiodi","Hans Rodionoff","Aksiyon,Korku,Gerilim","1h 28m","İngilizce","-","-"
"HII: Katliam","28/08/2009 (US)","54","Rob Zombie","Rob Zombie","Korku","1h 45m","İngilizce","$10,000,000.00","$39,421,467.00"
"Hırçın Kız","13/04/2022 (TR)","54","Anna Wieczur","Hanna Węsierska","Romantik,Komedi","1h 52m","Lehçe","-","-"
"Hırs","21/02/2020 (US)","56","Michael Winterbottom","","Komedi,Dram","1h 40m","İngilizce","$5,500,000.00","$1,500,000.00"
"Hırsızlar Kralı","03/08/1955 (US)","73","Alfred Hitchcock","","Gizem,Romantik,Gerilim","1h 46m","İngilizce","$2,500,000.00","$8,750,000.00"
"Hırsızlar Ordusu","27/10/2021 (US)","68","Matthias Schweighöfer","","Aksiyon,Gerilim,Suç,Komedi","2h 9m","İngilizce","$30,000,000.00","$46,900,000.00"
"Hırsızlar Şehri","24/12/2010 (TR)","72","Ben Affleck","","Suç,Dram,Gerilim","2h 5m","İngilizce","$37,000,000.00","$154,026,136.00"
"Hız Tutkunları","22/01/2004 (AU)","52","Joseph Kahn","","Aksiyon","1h 24m","İngilizce","$40,000,000.00","$46,546,197.00"
"Hız Tuzağı","09/06/1994 (US)","71","Jan de Bont","Graham Yost","Aksiyon,Macera,Suç","1h 56m","İngilizce","$30,000,000.00","$350,448,145.00"
"Hız Tuzağı 2: Seyir Kontrol","24/10/1997 (TR)","46","Jan de Bont","","Aksiyon,Macera,Gerilim","2h 5m","İngilizce","$160,000,000.00","$164,508,066.00"
"Hızlı","23/11/2010 (US)","63","George Tillman Jr.","Tony Gayton","Suç,Dram,Aksiyon,Gerilim","1h 38m","İngilizce","$24,000,000.00","$23,081,726.00"
"Hızlı ve Emekli 2","19/07/2013 (CA)","65","Dean Parisot","Erich Hoeber","Aksiyon,Komedi,Suç,Gerilim","1h 56m","İngilizce","$84,000,000.00","$148,100,000.00"
"Hızlı ve Korkusuz","14/06/2013 (US)","54","Mukunda Michael Dewil","Mukunda Michael Dewil","Gerilim,Aksiyon","1h 25m","İngilizce","-","-"
"Hızlı ve Öfkeli 10","19/05/2023 (TR)","71","Louis Leterrier","","Aksiyon,Suç,Gerilim","2h 22m","İngilizce","$340,000,000.00","$704,709,660.00"
"Hızlı ve Öfkeli 10","19/05/2023 (TR)","71","Louis Leterrier","","Aksiyon,Suç,Gerilim","2h 22m","İngilizce","$340,000,000.00","$704,709,660.00"
"Hızlı ve Öfkeli 9","02/07/2021 (TR)","71","Justin Lin","","Aksiyon,Macera,Suç","2h 23m","İngilizce","$200,000,000.00","$726,229,501.00"
"Hızlı ve Ölü","09/02/1995 (US)","65","Sam Raimi","","Vahşi Batı,Aksiyon","1h 47m","İngilizce","$35,000,000.00","$47,000,000.00"
"Hızlı Yarışcı","09/05/2008 (US)","63","Lilly Wachowski","Lilly Wachowski","Aile,Aksiyon,Macera,Komedi","2h 15m","İngilizce","$120,000,000.00","$93,900,000.00"
"Hibernatus","10/09/1969 (FR)","68","Édouard Molinaro","Jacques Vilfrid","Komedi,Bilim-Kurgu","1h 22m","Fransızca","-","-"
"Hiç Bitmeyen Öykü","06/04/1984 (DE)","72","Wolfgang Petersen","","Macera,Fantastik,Aile,Dram","1h 42m","İngilizce","$27,000,000.00","$20,158,808.00"
"Hiç Hesapta Yokken","25/11/1998 (US)","63","Peter Berg","","Komedi,Suç,Gerilim","1h 40m","İngilizce","$30,000,000.00","$9,898,412.00"
"Hidalgo","30/04/2004 (TR)","69","Joe Johnston","","Vahşi Batı,Macera,Aksiyon","2h 16m","İngilizce","$100,000,000.00","$108,103,450.00"
"Hidden Man","13/07/2018 (CN)","66","Jiang Wen","","Aksiyon,Suç,Dram","2h 17m","Çince","-","-"
"High Flying Bird","27/01/2019 (US)","57","Steven Soderbergh","Tarell Alvin McCraney","Dram","1h 30m","İngilizce","-","-"
"High Strung Free Dance","11/10/2019 (US)","73","Michael Damian","Michael Damian","Müzik,Romantik,Dram","1h 43m","İngilizce","-","$235,066.00"
"Higher Learning","11/01/1995 (US)","64","John Singleton","John Singleton","Dram,Suç","2h 8m","İngilizce","$20,000,000.00","$38,300,000.00"
"Hilkat Garibeleri","12/02/1932 (US)","78","Tod Browning","","Dram,Korku","1h 6m","İngilizce","$310,607.00","-"
"Hillbilly Elegy","24/11/2020 (TR)","67","Ron Howard","Vanessa Taylor","Dram","1h 56m","İngilizce","-","-"
"Himaye","20/08/2021 (US)","66","Martin Campbell","Richard Wenk","Aksiyon,Gerilim","1h 49m","İngilizce","-","$8,639,684.00"
"Hindistan'a Bir Geçit","14/12/1984 (US)","68","David Lean","","Dram,Macera,Tarih","2h 43m","İngilizce","$8,000,000.00","$27,201,487.00"
"Hip-Hop Dansçıları","30/01/2004 (US)","63","Chris Stokes","Chris Stokes","Müzik,Dram","1h 35m","İngilizce","-","-"
"His Family Tree","29/09/1935 (US)","45","Charles Vidor","","Komedi","1h 9m","İngilizce","-","-"
"Hisli Duygular","25/06/1974 (FR)","60","Just Jaeckin","Jean-Louis Richard","Dram,Romantik","1h 34m","Fransızca","$500,000.00","-"
"Hitler’e Suikast","09/04/2015 (DE)","69","Oliver Hirschbiegel","","Tarih,Dram","1h 54m","Almanca","-","$147,315.00"
"Hitler'i ve Sonra Koca Ayağı Öldüren Adam","08/02/2019 (US)","54","Robert D. Krzykowski","","Dram,Macera,Fantastik","1h 36m","İngilizce","-","$3,822.00"
"Hizmetçi","01/06/2016 (KR)","82","Park Chan-wook","Park Chan-wook","Gerilim,Dram,Romantik","2h 25m","Korece","$8,575,000.00","$38,600,000.00"
"Hobbit","27/11/1977 (US)","65","Arthur Rankin, Jr.","","Aile,Fantastik,Animasyon,Macera,TV film","1h 17m","İngilizce","$3,000,000.00","-"
"Hocus Pocus 2","30/09/2022 (TR)","73","Anne Fletcher","Jen D'Angelo","Fantastik,Komedi,Aile","1h 45m","İngilizce","$30,000,000.00","-"
"Hocus Pocus 2","30/09/2022 (TR)","73","Anne Fletcher","Jen D'Angelo","Fantastik,Komedi,Aile","1h 45m","İngilizce","$30,000,000.00","-"
"Holidate","28/10/2020 (TR)","70","John Whitesell","Tiffany Paulsen","Komedi,Romantik","1h 44m","İngilizce","-","-"
"Holiday","11/10/2018 (DK)","56","Isabella Eklöf","","Dram,Suç","1h 33m","Danca","-","-"
"Holidays","22/04/2016 (US)","49","Dennis Widmyer","Dennis Widmyer","Komedi,Korku","1h 45m","İngilizce","-","-"
"Hollarlar","26/08/2016 (US)","63","John Krasinski","Jim Strouse","Komedi,Dram,Romantik","1h 28m","İngilizce","$3,800,000.00","$1,016,985.00"
"Holmes & Watson","25/12/2018 (US)","43","Etan Cohen","Etan Cohen","Gizem,Macera,Komedi,Suç","1h 30m","İngilizce","$42,000,000.00","$40,500,000.00"
"Home Sweet Hell","13/03/2015 (US)","54","Anthony Burns","","Suç,Komedi,Gerilim","1h 38m","İngilizce","$3,000,000.00","-"
"Honeymoon","12/01/2024 (ES)","59","Enrique Otero","Enrique Otero","Dram","1h 30m","İspanyolca; Kastilyaca","-","-"
"Hong Kong Ekspresi","14/07/1994 (HK)","80","Wong Kar-wai","","Dram,Komedi,Romantik","1h 43m","Cantonese","$160,000.00","-"
"Hong Kong'lu Kontes","05/01/1967 (US)","61","Charlie Chaplin","","Komedi,Romantik","1h 47m","İngilizce","$3,500,000.00","$2,000,000.00"
"Horizon: An American Saga - Chapter 1","28/06/2024 (US)","0","Kevin Costner","Kevin Costner","Vahşi Batı,Dram","3h 1m","İngilizce","-","-"
"Horton","03/03/2008 (US)","65","Jimmy Hayward","","Animasyon,Komedi,Aile,Macera,Fantastik","1h 26m","İngilizce","$85,000,000.00","$298,572,799.00"
"Hoş Geldin Scooby-Doo!","08/02/2005 (US)","72","Tim Maltby","Temple Mathews","Gizem,Aile,Animasyon,Macera,Komedi","1h 14m","İngilizce","-","-"
"Hot Chili","31/07/1985 (US)","40","William Sachs","William Sachs","Komedi","1h 26m","İngilizce","-","-"
"Hotel Mumbai","14/03/2019 (AU)","75","Anthony Maras","","Gerilim,Tarih,Dram,Aksiyon","2h 5m","İngilizce","$25,000,000.00","$16,900,000.00"
"House of the Dead","02/11/2004 (DE)","31","Uwe Boll","","Korku,Aksiyon,Gerilim","1h 30m","İngilizce","$12,000,000.00","$13,818,181.00"
"House on Haunted Hill","17/02/1959 (US)","68","William Castle","Robb White","Korku,Gizem","1h 15m","İngilizce","$200,000.00","-"
"Housekeeping for Beginners","23/09/2023 (MK)","60","Goran Stolevski","Goran Stolevski","Komedi,Dram","1h 47m","Makedonca","-","-"
"How the West Was Won","20/02/1963 (US)","70","Henry Hathaway","James R. Webb","Vahşi Batı","2h 42m","İngilizce","$15,000,000.00","$50,000,000.00"
"How To Make Millions Before Grandma Dies","04/04/2024 (TH)","79","Pat Boonnitipat","","Dram","2h 6m","Taylandça","-","$8,400,000.00"
"How to Save the Immortal","09/06/2022 (RU)","78","Roman Artemyev","","Animasyon,Komedi,Macera,Fantastik,Romantik,Aile","1h 16m","Rusça","-","-"
"How to Survive Without Mum","12/04/2023 (FR)","49","Ludovic Bernard","Ludovic Bernard","Komedi","1h 36m","Fransızca","-","-"
"Howardların Malikanesi","13/03/1992 (US)","71","James Ivory","","Dram,Romantik","2h 22m","İngilizce","$8,000,000.00","$26,126,837.00"
"Hubie'nin Cadılar Bayramı","07/10/2020 (TR)","59","Steven Brill","Adam Sandler","Komedi,Gizem,Korku","1h 43m","İngilizce","$14,000,000.00","-"
"Huesera: The Bone Woman","23/02/2023 (MX)","58","Michelle Garza Cervera","Michelle Garza Cervera","Dram,Korku,Gizem","1h 37m","İspanyolca; Kastilyaca","-","-"
"Hugo","02/12/2011 (TR)","72","Martin Scorsese","Brian Selznick","Macera,Dram,Aile","2h 6m","İngilizce","$170,000,000.00","$185,770,160.00"
"Hulk vs. Thor","27/01/2009 (US)","68","Sam Liu","","Aksiyon,Animasyon,Fantastik,Bilim-Kurgu","45m","İngilizce","-","-"
"Humane","26/04/2024 (CA)","54","Caitlin Cronenberg","Michael Sparaga","Gerilim,Korku,Bilim-Kurgu","1h 33m","İngilizce","-","-"
"Hunt","10/08/2022 (KR)","67","Lee Jung-jae","Lee Jung-jae","Aksiyon,Gizem,Dram","2h 11m","Korece","$17,000,000.00","$25,994.00"
"Hunt Club","04/04/2023 (US)","36","Elizabeth Blake-Thomas","","Aksiyon,Gerilim,Korku","1h 27m","İngilizce","-","-"
"Hunter Hunter","18/12/2020 (CA)","63","Shawn Linden","Shawn Linden","Korku,Gerilim,Gizem","1h 33m","İngilizce","-","-"
"Hunter x Hunter: The Last Mission","27/12/2013 (JP)","69","Keiichiro Kawaguchi","Nobuaki Kishima","Macera,Animasyon,Aksiyon,Fantastik","1h 37m","Japonca","-","$7,449,778.00"
"Hunting Souls","05/04/2022 (US)","67","Diego Silva Acevedo","Diego Silva Acevedo","Korku","1h 33m","İngilizce","-","-"
"Hustle","08/06/2022 (TR)","78","Jeremiah Zagar","Taylor Materne","Dram,Komedi","1h 58m","İngilizce","-","-"
"Huzursuzluk","10/02/2023 (US)","56","Michael Winnick","Michael Winnick","Korku,Gerilim,Gizem","1h 25m","İngilizce","-","-"
"Hücre","17/11/2000 (TR)","63","Tarsem Singh","","Korku,Bilim-Kurgu,Gerilim","1h 47m","İngilizce","$33,000,000.00","$104,155,843.00"
"Hücre 7 Mucizesi","23/01/2013 (KR)","79","Lee Hwan-kyung","","Dram,Komedi","2h 7m","Korece","-","$80,300,000.00"
"Hür Kan","04/08/1989 (US)","68","John Flynn","","Aksiyon,Suç","1h 55m","İngilizce","$24,000,000.00","$22,099,847.00"
"I Am Jonas","23/11/2018 (FR)","68","Christophe Charrier","Christophe Charrier","Dram,Romantik,TV film","1h 22m","Fransızca","-","-"
"I Believe","07/11/2017 (US)","77","Juergen Peretzki","Juergen Peretzki","Aile,Dram","1h 29m","İngilizce","-","-"
"I Don't Like Younger Men","19/01/2017 (KR)","37","Choi Woo-seong","","Romantik","1h 22m","Korece","-","-"
"I Wanna Dance with Somebody: Whitney Houston Filmi","23/12/2022 (TR)","70","Kasi Lemmons","Anthony McCarten","Müzik,Tarih,Dram","2h 24m","İngilizce","$50,000,000.00","$59,800,000.00"
"I.S.S.","19/01/2024 (US)","51","Gabriela Cowperthwaite","","Bilim-Kurgu,Gerilim","1h 36m","İngilizce","$13,800,000.00","$6,394,197.00"
"Ibiza","25/05/2018 (US)","57","Alex Richanbach","Lauryn Kahn","Komedi,Romantik","1h 34m","İngilizce","-","-"
"Ichabod ve Bay Kurbağa'nın Maceraları","05/10/1949 (US)","64","Clyde Geronimi","Erdman Penner","Korku,Fantastik,Animasyon,Aile","1h 8m","İngilizce","-","-"
"Idol Seungha'nın R Dereceli Film Çekimi","24/06/2021 (KR)","65","Kim Ho","","Dram","1h 1m","Korece","-","-"
"Illang: Kurt Tugayı","25/07/2018 (KR)","63","Kim Jee-woon","","Bilim-Kurgu,Aksiyon,Macera,Gerilim","2h 18m","Korece","$16,723,043.00","-"
"Ilsa, the Tigress of Siberia","29/09/1977 (CA)","46","Jean LaFleur","Marven McGara","Korku,Gerilim,Savaş","1h 28m","İngilizce","$237,000.00","-"
"I'm Not Ashamed","21/10/2016 (US)","72","Brian Baugh","Kari Redmond","Dram","1h 53m","İngilizce","$1,500,000.00","$2,082,980.00"
"Imagine Me & You","16/06/2006 (GB)","76","Ol Parker","Ol Parker","Dram,Komedi,Romantik","1h 33m","İngilizce","$1,000,000.00","$2,500,000.00"
"Immaculata","20/05/2024 (FR)","0","Kim Lêa Sakkal","","Dram","23m","Almanca","-","-"
"Immersion","16/06/2023 (JP)","59","Takashi Shimizu","","Korku,Gizem,Bilim-Kurgu","1h 49m","Japonca","-","-"
"Impuratus","26/02/2023 (US)","51","Mike Yurinko","","Korku,Gizem,Fantastik","2h 14m","İngilizce","-","-"
"In a Violent Nature","31/05/2024 (US)","0","Chris Nash","Chris Nash","Korku,Gerilim","1h 34m","İngilizce","-","-"
"In Bruges","17/09/2021 (TR)","75","Martin McDonagh","","Komedi,Dram,Suç","1h 48m","İngilizce","$15,000,000.00","$34,533,783.00"
"In the Land of Saints and Sinners","29/03/2024 (US)","65","Robert Lorenz","Terry Loane","Aksiyon,Gerilim","1h 46m","İngilizce","-","-"
"Indiana Jones ve Kader Kadranı","30/06/2023 (US)","66","James Mangold","James Mangold","Macera,Aksiyon","2h 35m","İngilizce","$294,700,000.00","$383,900,000.00"
"Indiana Jones: Son Macera","27/10/1989 (TR)","78","Steven Spielberg","","Macera,Aksiyon","2h 7m","İngilizce","$48,000,000.00","$474,171,806.00"
"Inferno","07/02/1980 (IT)","67","Dario Argento","","Korku,Gerilim","1h 47m","İtalyanca","$3,000,000.00","-"
"Infested","27/12/2023 (FR)","69","Sébastien Vaniček","Sébastien Vaniček","Korku","1h 46m","Fransızca","-","$2,110,014.00"
"Infested","27/12/2023 (FR)","69","Sébastien Vaniček","Sébastien Vaniček","Korku","1h 46m","Fransızca","-","$2,110,014.00"
"Infidelity in Suburbia","25/02/2017 (US)","63","David Winning","Christie Will","Gerilim,TV film","2h","İngilizce","-","-"
"Ingeborg Bachmann – Journey into the Desert","19/10/2023 (DE)","72","Margarethe von Trotta","Margarethe von Trotta","Dram,Tarih","1h 50m","Almanca","-","-"
"Ingrid Batıda","11/08/2017 (US)","64","Matt Spicer","","Komedi,Dram","1h 38m","İngilizce","-","$24,931,915.00"
"Initial D","23/06/2005 (HK)","67","Andrew Lau Wai-Keung","Shuichi Shigeno","Aksiyon,Suç,Dram","1h 48m","Cantonese","$1,549,000.00","$7,096,000.00"
"Innocence","10/06/2020 (KR)","77","Park Sang-hyeon","Park Sang-hyeon","Suç,Gerilim","1h 50m","Korece","-","-"
"Intihar Timi : Cehennemin Bedeli","23/03/2018 (US)","71","Sam Liu","Alan Burnett","Bilim-Kurgu,Aksiyon,Animasyon","1h 26m","İngilizce","-","-"
"Inuyasha the Movie 3: Swords of an Honorable Ruler","20/12/2003 (JP)","77","Toshiya Shinohara","Katsuyuki Sumisawa","Animasyon,Fantastik,Macera","1h 39m","Japonca","-","-"
"Inuyasha the Movie 4: Fire on the Mystic Island","23/12/2004 (JP)","75","Toshiya Shinohara","","Fantastik,Animasyon,Macera","1h 28m","Japonca","-","-"
"Inuyasha the Movie: Affections Touching Across Time","15/12/2001 (JP)","76","Toshiya Shinohara","Rumiko Takahashi","Aksiyon,Animasyon,Macera,Fantastik","1h 39m","Japonca","$10,540.00","-"
"Invisible Sister","09/10/2015 (US)","67","Paul Hoen","Jessica O'Toole","Fantastik,Macera,Komedi,TV film","1h 17m","İngilizce","-","-"
"IO","18/01/2019 (US)","49","Jonathan Helpert","","Bilim-Kurgu","1h 36m","İngilizce","-","-"
"Ip Man","19/12/2008 (HK)","78","Wilson Yip","Tai-lee Chan","Dram,Aksiyon,Tarih","1h 46m","Cantonese","$11,700,000.00","$22,100,000.00"
"Irena's Vow","19/04/2024 (CA)","50","Louise Archambault","Dan Gordon","Savaş,Dram","2h 1m","İngilizce","-","-"
"Iron Eagle","17/01/1986 (US)","55","Sidney J. Furie","","Aksiyon","1h 57m","İngilizce","$18,000,000.00","$24,159,872.00"
"Iron Man 2","07/05/2010 (US)","68","Jon Favreau","","Macera,Aksiyon,Bilim-Kurgu","2h 5m","İngilizce","$200,000,000.00","$623,933,331.00"
"Iron Man 3","03/05/2013 (TR)","69","Shane Black","","Aksiyon,Macera,Bilim-Kurgu","2h 12m","İngilizce","$200,000,000.00","$1,215,577,205.00"
"Iron Man 3","03/05/2013 (TR)","69","Shane Black","","Aksiyon,Macera,Bilim-Kurgu","2h 12m","İngilizce","$200,000,000.00","$1,215,577,205.00"
"Iron Man: Technovore'un Yükselişi","24/04/2013 (JP)","60","Hiroshi Hamasaki","","Bilim-Kurgu,Animasyon,Aksiyon","1h 28m","Japonca","-","-"
"Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion","15/02/2019 (JP)","78","Katsushi Sakurabi","","Animasyon,Aksiyon,Macera,Komedi,Fantastik,Romantik","1h 22m","Japonca","-","-"
"Isadora","27/04/1969 (US)","62","Karel Reisz","","Dram,Tarih,Müzik","2h 11m","İngilizce","-","-"
"Issız Bir Yerde","17/05/1950 (US)","76","Nicholas Ray","","Dram,Romantik,Gizem,Suç","1h 34m","İngilizce","-","-"
"Istakoz","28/10/2015 (FR)","70","Yorgos Lanthimos","","Komedi,Dram,Romantik","1h 59m","İngilizce","$4,000,000.00","$15,700,000.00"
"Işığın Bittiği Yer","20/04/1990 (TR)","73","James Cameron","James Cameron","Macera,Aksiyon,Gerilim,Bilim-Kurgu","2h 51m","İngilizce","$70,000,000.00","$90,000,098.00"
"Işıklar Sönünce","22/07/2016 (TR)","63","David F. Sandberg","David F. Sandberg","Korku","1h 21m","İngilizce","$4,900,000.00","$148,868,835.00"
"Işıkyılı","17/06/2022 (TR)","70","Angus MacLane","","Animasyon,Bilim-Kurgu,Aile,Macera","1h 45m","İngilizce","$200,000,000.00","$226,400,000.00"
"It Happened on Fifth Avenue","17/04/1947 (US)","71","Roy Del Ruth","","Komedi,Romantik,Müzik","1h 56m","İngilizce","-","-"
"It's the Great Pumpkin, Charlie Brown","27/10/1966 (US)","75","Bill Melendez","Charles M. Schulz","Aile,Animasyon,TV film,Komedi","25m","İngilizce","-","-"
"İbni Sina: Hekim","25/12/2013 (DE)","73","Philipp Stölzl","","Macera,Dram,Tarih","2h 35m","İngilizce","$36,000,000.00","$57,300,000.00"
"İç Savaş","19/04/2024 (TR)","74","Alex Garland","Alex Garland","Savaş,Aksiyon,Dram","1h 49m","İngilizce","$50,000,000.00","$108,969,206.00"
"içerde","13/06/2007 (FR)","67","Julien Maury","Julien Maury","Korku","1h 23m","Fransızca","$3,000,000.00","-"
"İçeride","11/11/2016 (CA)","53","Farren Blackburn","Christina Hodson","Dram,Gerilim","1h 31m","İngilizce","$10,000,000.00","$13,082,071.00"
"İçerideki Adam","28/04/2006 (TR)","74","Spike Lee","Russell Gewirtz","Suç,Dram,Gerilim","2h 9m","İngilizce","$45,000,000.00","$186,003,591.00"
"İçerideki Adam: Muhbir","24/09/2019 (US)","65","M.J. Bassett","Brian Brightly","Aksiyon,Suç,Gerilim","1h 46m","İngilizce","-","-"
"İçgüdü","04/06/1999 (US)","64","Jon Turteltaub","","Dram,Gerilim","2h 4m","İngilizce","$80,000,000.00","$34,105,207.00"
"İçimde Biri Var","01/07/1987 (US)","68","Joe Dante","","Aksiyon,Komedi,Bilim-Kurgu","2h","İngilizce","$27,000,000.00","$25,900,000.00"
"İçimdeki Çocuk","07/07/2000 (US)","67","Jon Turteltaub","Audrey Wells","Fantastik,Komedi,Aile","1h 44m","İngilizce","$65,000,000.00","$110,317,580.00"
"İçimdeki Katil","08/07/2010 (GB)","58","Michael Winterbottom","Michael Winterbottom","Suç,Dram,Gerilim","1h 49m","İngilizce","$13,000,000.00","$3,977,192.00"
